temp_c,temp_max_c,temp_min_c,rain_mm,wind_kmh,wind_gust_kmh,humidity,conditions,venue,date_str,lat,lon
15.8,18.8,13.6,6.866,19.8,26.3,92.3,"Rain, Overcast",S.C.G.,2024-05-04,-33.8917,151.2247
11.7,19.0,5.5,0.003,19.9,32.8,66.9,Rain,Subiaco,2014-07-13,-31.9444,115.8308
11.0,13.2,8.7,0.167,12.6,20.2,86.9,"Rain, Partially cloudy",Adelaide Oval,2021-08-07,-34.9156,138.5961
23.2,29.9,17.4,0.128,18.7,33.5,68.7,"Rain, Partially cloudy",Perth Stadium,2023-03-25,-31.9512,115.8891
17.8,23.3,11.9,0.011,18.1,40.0,74.3,"Rain, Partially cloudy",Kardinia Park,2022-04-08,-38.1581,144.3547
12.9,16.1,9.3,3.805,25.2,40.7,86.6,"Rain, Partially cloudy",M.C.G.,2014-06-13,-37.82,144.9834
11.1,17.8,3.5,0.0,15.9,30.2,65.2,Clear,York Park,2023-04-01,-41.4281,147.1383
12.3,15.8,8.9,0.0,21.8,34.6,72.2,Partially cloudy,Adelaide Oval,2020-08-27,-34.9156,138.5961
24.0,28.1,22.1,0.403,11.2,26.3,82.9,"Rain, Partially cloudy",Gabba,2021-03-20,-27.4858,153.0381
6.9,12.6,2.4,0.0,15.2,39.2,71.7,Clear,York Park,2021-05-15,-41.4281,147.1383
18.3,22.1,14.1,0.0,29.5,0.0,69.4,Partially cloudy,Football Park,2013-04-14,-34.88,138.4964
11.0,12.6,10.0,0.214,14.9,34.2,72.2,"Rain, Partially cloudy",M.C.G.,2021-06-26,-37.82,144.9834
19.0,23.9,14.9,0.854,34.3,54.7,60.3,"Rain, Partially cloudy",S.C.G.,2023-04-08,-33.8917,151.2247
5.3,11.4,0.8,0.008,11.1,19.4,81.1,"Rain, Partially cloudy",M.C.G.,2015-07-19,-37.82,144.9834
15.4,19.3,11.6,0.006,16.7,42.5,70.4,"Rain, Partially cloudy",Docklands,2024-03-23,-37.8165,144.9475
20.6,24.1,17.8,0.0,14.5,35.3,70.1,Partially cloudy,S.C.G.,2017-04-22,-33.8917,151.2247
19.9,29.1,13.5,0.0,19.2,36.4,54.1,Clear,Subiaco,2017-05-07,-31.9444,115.8308
16.7,20.0,12.8,0.025,25.2,40.0,63.4,"Rain, Partially cloudy",S.C.G.,2014-05-29,-33.8917,151.2247
16.3,23.1,10.1,0.0,24.8,30.2,80.9,Partially cloudy,Docklands,2014-04-06,-37.8165,144.9475
16.3,20.5,10.3,0.797,38.2,58.3,71.6,"Rain, Partially cloudy",Subiaco,2015-09-11,-31.9444,115.8308
11.7,19.0,5.8,0.0,17.9,24.8,72.2,Partially cloudy,UNSW Canberra Oval,2017-04-15,-35.3178,149.1347
